title,true_label,final_prediction,z_label,z_reason,a_final,b_final,num_debate_turns
TRUMP DELIVERS BARN BURNER OF A SPEECH: “Media out...,fake,fake,fake,The claim is sourced from a partisan website (100PercentFedUp.com) and lacks corroboration from cred...,no_debate,no_debate,0
U.S. attorney general unveils 12-city partnership ...,real,real,pass,"Supported by credible sources including USA Today and the U.S. Department of Justice, confirming the...",real,real,2
Turkey orders 117 soldiers detained over Gulen lin...,real,real,pass,"Supported by credible sources (Reuters, Tasnim News) confirming the detention of 117 soldiers over a...",real,real,2
NANCY PELOSI Connected to DNC Staffer Charged With...,fake,fake,fake,No credible evidence supports the claim; it appears to be sensational and lacks verification from re...,no_debate,no_debate,0
(VIDEO) HYSTERICAL SNL TAKE ON HILLARY’S ANNOUNCEM...,fake,fake,fake,The claim is based on sensational language ('HYSTERICAL SNL TAKE') and lacks credible sources to sup...,no_debate,no_debate,0
Vice President Biden to meet with Sanders on Thurs...,real,real,pass,Supported by credible sources (Reuters) confirming the meeting between Vice President Biden and Bern...,real,real,2
HOW HILLARY CLINTON Has Secured Her Husband’s Lega...,fake,fake,fake,The claim uses sensational language ('legacy as a rapist' and 'enabler') and lacks credible evidence...,no_debate,no_debate,0
 Michael Moore Says He Is ‘Absolutely’ Convinced T...,fake,fake,pass,The claim about Michael Moore expressing concern over Trump potentially banning Muslims is supported...,fake,fake,2
JUDGE JEANINE HAMMERS OBAMA: “There’s a hero in Wa...,fake,fake,fake,No credible sources support the claim; it appears to be sensationalized and lacks verification....,no_debate,no_debate,0
STRANGE: Hillary Goes Off the Rails in Labor Union...,fake,fake,pass,"The claim is based on actual events where Hillary Clinton gave a speech to a labor union, and the so...",fake,fake,2
NZ opposition Labour says in a stronger position t...,real,real,pass,"Supported by credible sources (Reuters, Yahoo News, Irish Times) confirming the Labour Party's stren...",real,real,2
 Hillary Responds To Trump On Twitter And HILARIOU...,fake,fake,pass,"Hillary Clinton did respond to Donald Trump on Twitter, and her tweet became highly retweeted, as re...",fake,fake,2
House Democrats question if Valeant is withholding...,real,real,pass,Supported by credible sources (Reuters) confirming that House Democrats are questioning Valeant Phar...,real,real,2
Buddhist mistrust of foreign aid workers hampers r...,real,real,pass,"Supported by credible sources (Reuters, The Daily Star) discussing the impact of Buddhist mistrust o...",real,real,2
